ParticipantID,GainDetected,DeltaPosMagnitude,DeltaDir,DeltaTime,ResetActive,S2CActive,AC2FActive,NoDistractorActive,ContrabassDistractorActive,OboeDistractorActive,HarpsichordDistractorActive,ViolinDistractorActive,GlockenspielDistractorActive,NoGainApplied,NegativeRotationGainApplied,PositiveRotationGainApplied,CurvatureGainApplied,CurrentRotationGainAgainst,CurrentRotationGainWith,CurrentCurvatureGainRadius,NoGainRatioDuringDetection,NegativeRotationGainRatioDuringDetection,PositiveRotationGainRatioDuringDetection,CurvatureGainRatioDuringDetection,MostLikelyDetectedGain,TimeSinceExperimentStart
0,0,0,0,0.0075542,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,9.155273E-05
0,0,0,0,0.0070038,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.00685215
0,0,0,0,0.0073143,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.01389313
0,0,0,0,0.0070129,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.0212183
0,0,0,0,0.0062068,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.02710342
0,0,0,0,0.0068478,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.03399849
0,0,0,0,0.0068607,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.04112434
0,0,0,0,0.0070215,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.04788876
0,0,0,0,0.0069518,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.05479336
0,0,0,0,0.0070011,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.06205463
0,0,0,0,0.0069535,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.06875324
0,0,0,0,0.0062747,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.07502842
0,0,0,0,0.007716,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.08301544
0,0,0,0,0.0059727,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.08870316
0,0,0,0,0.0069624,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.09568501
0,0,0,0,0.0070094,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.1029758
0,0,0,0,0.0070016,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.1097603
0,0,0,0,0.0065399,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.1162148
0,0,0,0,0.0068448,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.1233492
0,0,0,0,0.0075106,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.1305809
0,0,0,0,0.006178,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.1367455
0,0,0,0,0.0068489,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.1439505
0,0,0,0,0.0070378,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.1507196
0,0,0,0,0.0069109,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.1575537
0,0,0,0,0.0069328,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.1647491
0,0,0,0,0.0069826,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.1714678
0,0,0,0,0.0070128,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.1785326
0,0,0,0,0.0061855,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.1849737
0,0,0,0,0.006848,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.1915512
0,0,0,0,0.0068823,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.1984167
0,0,0,0,0.0069899,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.2056761
0,0,0,0,0.0069735,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.2123899
0,0,0,0,0.0069801,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.2193384
0,0,0,0,0.0063931,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.2260237
0,0,0,0,0.0068447,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.2325945
0,0,0,0,0.0068665,0,1,0,1,0,0,0,0,0,1,0,0,0,-0.2,0.49,7.5,0.000,0.000,0.000,0.000,0,0.2395229
